num_officers,pop
44,31493
81,31810
34,8316
43,5947
12,3899
10,3181
22,2732
22,8512
11,1159
12,2489
12,3816
25,6544
9,2150
13,3272
25,7490
76,9801
0,277
17,4756
8,2441
20,5913
24,7862
7,203
17,2405
8,792
11,2111
21,4513
4,822
9,1313
9,852
8,498
6,1161
58,10915
587,264369
690,146301
149,26402
1023,209649
74,20292
41,14036
27,12086
23,5031
25,6131
99,34538
117,25428
34,9344
225,85670
41,12582
22,10101
1,2766
44,15290
8,2142
77,22609
28,4302
7,624
6,2156
8,1318
7,3383
552,109878
635,244775
54,21405
23,5704
17,3887
56,14763
18,2492
18,6159
5,1490
31,2028
28,1306
175,28025
563,197315
43,20838
89,35857
0,851
319,101635
31,9427
64,22932
94,19419
69,12739
28,6978
21,2695
7,1040
104,27157
12,1614
11,1751
78,6202
26,9282
58,8034
59,11758
4,2839
3,1259
3,456
4,249
12,12191
7,2623
7,4751
2,1233
48,45702
21,6619
13,842
0,415
13,6631
19,3421
18,9960
30,7485
9,1601
96,21391
38,12453
18,4555
78,21131
6,1151
14,2926
31,6208
29,9168
12,3517
5,1817
3,1017
47,13384
26,3879
27,9055
16,1900
11,2247
28,11156
12,3427
60,18592
23,3820
72,28463
57,20451
36,8876
6,999
9,706
38,7785
25,3572
23,9286
35,8699
29,6403
7,1894
2,476
71,15956
3,2016
8,2371
10,1959
3,369
8,4560
8,1026
8,1311
89,18425
36,9255
178,29516
28,5769
10,5133
45,9558
9,4248
19,8868
5,1797
12,4292
3,1093
13,3051
25,15582
13,4321
7,1865
15,2586
33,5523
10,2621
31,10677
10,2460
19,9399
14,2548
20,4738
171,28799
5,2154
2,734
3,1240
2,2221
81,30514
74,14360
7,1941
5,955
1,695
2,815
8,1839
1,976
74,47985
132,40543
5,677
4,705
5,1228
59,26842
11,3206
1,584
2,512
4,608
170,63574
150,67407
99,31109
120,62546
56,26833
11,1450
42,7124
5,1149
4,796
7,754
28,8589
32,8250
16,814
12,396
339,120335
648,199465
111,51375
6,812
6,2912
5,2082
1,634
25,9716
24,6639
6,1873
1,380
31,13721
15,6547
14,4451
6,2251
1,866
2,1038
74,47759
69,21611
47,8517
37,8350
33,9680
2,915
5,775
51,13273
33,5774
2,1156
2,637
182,42401
151,54074
31,14442
6,1244
2,769
8,2449
5,3761
19,3564
7,3203
7,2211
35,13011
6,2280
4,1609
5,1550
3,950
35,12224
80,19245
17,1923
35,15270
28,5914
4,725
9,794
117,25876
94,36874
108,34981
42,13936
4,2332
3,1700
11,4290
9,3816
22,13240
3,2325
2,5105
4,1077
7,4335
221,88887
41,14750
15,4644
20,6720
89,33620
85,24033
30,19870
8,1725
25,6685
4,2235
8,3354
95,35136
39,12108
45,15201
20,4846
21,6763
1,1360
55,18801
67,14410
15,3063
5,948
2,754
3,813
204,73637
356,102518
67,26043
5,1678
