num_officers,total_crimes
44,
81,
34,
43,
12,
10,
22,
22,
11,
12,
12,
25,
9,
13,
25,
76,
0,
17,
8,
20,
24,
7,
17,
8,
11,
21,
4,
9,
9,
8,
6,
58,
587,
690,
149,
1023,
74,
41,
27,
23,
25,
99,
117,
34,
225,
41,
22,
1,
44,
8,
77,
28,
7,
6,
8,
7,
552,
635,
54,
23,
17,
56,
18,
18,
5,
31,
28,
175,
563,
43,
89,
0,
319,
31,
64,
94,
69,
28,
21,
7,
104,
12,
11,
78,
26,
58,
59,
4,
3,
3,
4,
12,
7,
7,
2,
48,
21,
13,
0,
13,
19,
18,
30,
9,
96,
38,
18,
78,
6,
14,
31,
29,
12,
5,
3,
47,
26,
27,
16,
11,
28,
12,
60,
23,
72,
57,
36,
6,
9,
38,
25,
23,
35,
29,
7,
2,
71,
3,
8,
10,
3,
8,
8,
8,
89,
36,
178,
28,
10,
45,
9,
19,
5,
12,
3,
13,
25,
13,
7,
15,
33,
10,
31,
10,
19,
14,
20,
171,
5,
2,
3,
2,
81,
74,
7,
5,
1,
2,
8,
1,
74,
132,
5,
4,
5,
59,
11,
1,
2,
4,
170,
150,
99,
120,
56,
11,
42,
5,
4,
7,
28,
32,
16,
12,
339,
648,
111,
6,
6,
5,
1,
25,
24,
6,
1,
31,
15,
14,
6,
1,
2,
74,
69,
47,
37,
33,
2,
5,
51,
33,
2,
2,
182,
151,
31,
6,
2,
8,
5,
19,
7,
7,
35,
6,
4,
5,
3,
35,
80,
17,
35,
28,
4,
9,
117,
94,
108,
42,
4,
3,
11,
9,
22,
3,
2,
4,
7,
221,
41,
15,
20,
89,
85,
30,
8,
25,
4,
8,
95,
39,
45,
20,
21,
1,
55,
67,
15,
5,
2,
3,
204,
356,
67,
5,
6,
4,
4,
76,
70,
9,
6,
11,
18,
3,
1,
22,
8,
2,
4,
22,
10,
2,
29,
8,
16,
4,
2,
2,
11,17
11,55
33,165
1,1
22,57
27,86
7,9
60,423
37,355
2,1
4,37
2,1
0,
241,262
115,467
155,1097
53,368
16,5
11,0
24,50
12,3
6,2
7,2
3,4
7,3
24,56
7,2
3,1
49,117
56,237
43,253
1,0
7,12
19,71
12,54
3,
64,144
16,122
17,68
13,1
8,23
10,
7,16
16,54
33,24
29,142
5,18
7,12
1,3
20,3
12,28
7,1
49,219
26,158
4,0
5,
1,
12,47
0,
42,50
25,138
44,161
27,158
4,0
0,1
113,182
174,2190
3,1
4,8
4,1
4,1
4,1
6,1
78,119
64,647
21,166
4,1
2,
3,2
2,0
144,206
111,653
6,24
35,194
0,
40,
21,195
2,
1,3
28,0
14,102
8,
27,52
1,
24,12
15,36
29,165
163,358
172,1119
15,2
9,7
9,0
2,0
25,45
13,58
5,12
2,7
18,26
4,12
2,3
181,407
137,1067
18,48
30,47
26,73
75,972
4,32
58,111
36,260
34,
23,
24,22
17,82
4,0
3,1
41,239
25,143
37,186
32,54
25,282
4,18
3,3
2,2
102,226
140,1082
17,27
6,1
35,75
